route,type,primary_keyword,title_and_h1
"/services/gas-line-installation/","Service","gas line installation Houston","Gas Line Installation in Houston, TX"
"/services/appliance-gas-hookup/","Service","gas appliance hookup Houston","Gas Appliance Hookup in Houston, TX"
"/services/dishwasher-installation/","Service","dishwasher plumbing installation Houston","Dishwasher Plumbing Installation in Houston, TX"
"/services/appliance-water-line/","Service","appliance water line installation Houston","Appliance Water Line Installation in Houston, TX"
"/services/washing-machine-plumbing/","Service","washing machine plumbing Houston","Washing Machine Plumbing in Houston, TX"
"/services/refrigerator-water-line/","Service","refrigerator water line installation Houston","Refrigerator Water Line Installation in Houston, TX"
"/services/commercial-plumbing/","Service","commercial plumbing Houston","Commercial Plumbing in Houston, TX"
"/services/plumbing-inspection/","Service","plumbing inspection Houston","Plumbing Inspection in Houston, TX"
"/services/grease-trap-plumbing/","Service","grease trap plumbing Houston","Grease Trap Plumbing in Houston, TX"
"/services/sump-pump-repair/","Service","sump pump repair and installation Houston","Sump Pump Repair and Installation in Houston, TX"
"/services/ejector-pump-repair/","Service","sewage ejector pump repair Houston","Sewage Ejector Pump Repair in Houston, TX"
"/services/outdoor-plumbing/","Service","outdoor plumbing Houston","Outdoor Plumbing in Houston, TX"
"/services/hose-bib-repair/","Service","hose bib repair and installation Houston","Hose Bib Repair and Installation in Houston, TX"
"/services/irrigation-backflow/","Service","irrigation backflow service Houston","Irrigation Backflow Service in Houston, TX"
"/service-areas/","Directory","plumbing service areas Greater Houston","Plumbing Service Areas in Greater Houston"
"/service-areas/houston/","Service area","plumber Houston TX","Plumber in Houston, TX"
"/service-areas/downtown-houston/","Service area","plumber Downtown Houston TX","Plumber in Downtown Houston, TX"
"/service-areas/midtown-houston/","Service area","plumber Midtown Houston TX","Plumber in Midtown Houston, TX"
"/service-areas/montrose/","Service area","plumber Montrose TX","Plumber in Montrose, TX"
"/service-areas/houston-heights/","Service area","plumber Houston Heights TX","Plumber in Houston Heights, TX"
"/service-areas/river-oaks/","Service area","plumber River Oaks TX","Plumber in River Oaks, TX"
"/service-areas/west-university-place/","Service area","plumber West University Place TX","Plumber in West University Place, TX"
"/service-areas/bellaire/","Service area","plumber Bellaire TX","Plumber in Bellaire, TX"
"/service-areas/memorial/","Service area","plumber Memorial TX","Plumber in Memorial, TX"
"/service-areas/spring-branch/","Service area","plumber Spring Branch TX","Plumber in Spring Branch, TX"
"/service-areas/uptown-galleria/","Service area","plumber Uptown and the Galleria TX","Plumber in Uptown and the Galleria, TX"
"/service-areas/meyerland/","Service area","plumber Meyerland TX","Plumber in Meyerland, TX"
"/service-areas/braeswood-place/","Service area","plumber Braeswood Place TX","Plumber in Braeswood Place, TX"
"/service-areas/eado/","Service area","plumber East Downtown Houston TX","Plumber in East Downtown Houston, TX"
"/service-areas/third-ward/","Service area","plumber Third Ward TX","Plumber in Third Ward, TX"
"/service-areas/energy-corridor/","Service area","plumber Energy Corridor TX","Plumber in Energy Corridor, TX"
"/service-areas/the-woodlands/","Service area","plumber The Woodlands TX","Plumber in The Woodlands, TX"
"/service-areas/spring/","Service area","plumber Spring TX","Plumber in Spring, TX"
"/service-areas/tomball/","Service area","plumber Tomball TX","Plumber in Tomball, TX"
"/service-areas/humble/","Service area","plumber Humble TX","Plumber in Humble, TX"
"/service-areas/kingwood/","Service area","plumber Kingwood TX","Plumber in Kingwood, TX"
"/service-areas/atascocita/","Service area","plumber Atascocita TX","Plumber in Atascocita, TX"
"/service-areas/cypress/","Service area","plumber Cypress TX","Plumber in Cypress, TX"
"/service-areas/katy/","Service area","plumber Katy TX","Plumber in Katy, TX"
"/service-areas/cinco-ranch/","Service area","plumber Cinco Ranch TX","Plumber in Cinco Ranch, TX"
"/service-areas/fulshear/","Service area","plumber Fulshear TX","Plumber in Fulshear, TX"
"/service-areas/richmond/","Service area","plumber Richmond TX","Plumber in Richmond, TX"
"/service-areas/rosenberg/","Service area","plumber Rosenberg TX","Plumber in Rosenberg, TX"
"/service-areas/sugar-land/","Service area","plumber Sugar Land TX","Plumber in Sugar Land, TX"
"/service-areas/stafford/","Service area","plumber Stafford TX","Plumber in Stafford, TX"
"/service-areas/missouri-city/","Service area","plumber Missouri City TX","Plumber in Missouri City, TX"
"/service-areas/pearland/","Service area","plumber Pearland TX","Plumber in Pearland, TX"
"/service-areas/friendswood/","Service area","plumber Friendswood TX","Plumber in Friendswood, TX"
"/service-areas/league-city/","Service area","plumber League City TX","Plumber in League City, TX"
"/service-areas/clear-lake/","Service area","plumber Clear Lake TX","Plumber in Clear Lake, TX"
"/service-areas/webster/","Service area","plumber Webster TX","Plumber in Webster, TX"
"/service-areas/alvin/","Service area","plumber Alvin TX","Plumber in Alvin, TX"
"/service-areas/manvel/","Service area","plumber Manvel TX","Plumber in Manvel, TX"
"/service-areas/pasadena/","Service area","plumber Pasadena TX","Plumber in Pasadena, TX"
"/service-areas/deer-park/","Service area","plumber Deer Park TX","Plumber in Deer Park, TX"
"/service-areas/la-porte/","Service area","plumber La Porte TX","Plumber in La Porte, TX"
"/service-areas/baytown/","Service area","plumber Baytown TX","Plumber in Baytown, TX"
"/service-areas/channelview/","Service area","plumber Channelview TX","Plumber in Channelview, TX"
"/process/","Information","plumbing service matching process","How Plumbing Service Matching Works"
"/contact/","Conversion","Houston plumbing request","Describe Your Houston Plumbing Need"
"/privacy/","Legal","privacy information","Privacy Information for This Test Build"
"/404.html","Utility","not indexable","Page Not Found"
